Time,Ampl
995745,3.79788
995746,3.79787
995747,3.79686
995748,3.79736
995749,3.79691
995750,3.79722
995751,3.84237
995752,3.84183
995753,3.84212
995754,3.84182
995755,3.84205
995756,3.84205
995757,3.84166
995758,3.84039
995759,3.86152
995760,3.88579
995761,3.88584
995762,3.88557
995763,3.88571
995764,3.88522
995765,3.88507
995766,3.88474
995767,3.88441
995768,3.05048
995769,2.28771
995770,3.20321
995771,3.2027
995772,3.20227
995773,3.2024
995774,3.20233
995775,3.20213
995776,3.2023
995777,3.2015
995778,3.24704
995779,3.24644
995780,3.24644
995781,3.24638
995782,3.24597
995783,3.24613
995784,3.24566
995785,3.24568
995786,3.25527
995787,3.29008
995788,3.29038
995789,3.29032
995790,3.29036
995791,3.28999
995792,3.2903
995793,3.29021
995794,3.28942
995795,3.31965
995796,3.33441
995797,3.33445
995798,3.33459
995799,3.33458
995800,3.33476
995801,3.33451
995802,3.33436
995803,3.33423
995804,3.37973
995805,3.37972
995806,3.37944
995807,3.3799
995808,3.37924
995809,3.37858
995810,3.37903
995811,3.37873
995812,3.39204
995813,3.42405
995814,3.4243
995815,3.42416
995816,3.42337
995817,3.42315
995818,3.42389
995819,3.42361
995820,3.42362
995821,3.4573
995822,3.46879
995823,3.46826
995824,3.46797
995825,3.46813
995826,3.46783
995827,3.46776
995828,3.4675
995829,3.46751
995830,3.51316
995831,3.51259
995832,3.51236
995833,3.51212
995834,3.51233
995835,3.51264
995836,3.51171
995837,3.51152
995838,3.53232
995839,3.55676
995840,3.55645
995841,3.55625
995842,3.55654
995843,3.55621
995844,3.55672
995845,3.55652
995846,3.55681
995847,3.59598
995848,3.60084
995849,3.60033
995850,3.60069
995851,3.60081
995852,3.60087
995853,3.60007
995854,3.60075
995855,3.60053
995856,3.64546
995857,3.64467
995858,3.6445
995859,3.64444
995860,3.6439
995861,3.64411
995862,3.64397
995863,3.64343
995864,3.65247
995865,3.68802
995866,3.68801
995867,3.68785
995868,3.68749
995869,3.68766
995870,3.68753
995871,3.68677
995872,3.68674
995873,3.71488
995874,3.73198
995875,3.73163
995876,3.73162
995877,3.73125
995878,3.73099
995879,3.73123
995880,3.73122
995881,3.73076
995882,3.76666
995883,3.77562
995884,3.77641
995885,3.77553
995886,3.77521
995887,3.77516
995888,3.77558
995889,3.77503
995890,3.77461
995891,3.81684
995892,3.81982
995893,3.8197
995894,3.8194
995895,3.81904
995896,3.81881
995897,3.81858
995898,3.81829
995899,3.81872
995900,3.86372
995901,3.86296
995902,3.86232
995903,3.86268
995904,3.86293
995905,3.86245
995906,3.86229
995907,3.86183
995908,3.8618
995909,2.62917
995910,3.63525
995911,3.63491
995912,3.63457
995913,3.63463
995914,3.63462
995915,3.63439
995916,3.63378
995917,3.63328
995918,3.6633
995919,3.67823
995920,3.67798
995921,3.67786
995922,3.67755
995923,3.67728
995924,3.67684
995925,3.6769
995926,3.6771
995927,3.71487
995928,3.72233
995929,3.72195
995930,3.72103
995931,3.72112
995932,3.72107
995933,3.72065
995934,3.7201
995935,3.71989
995936,3.76564
995937,3.76529
995938,3.76538
995939,3.76563
995940,3.7653
995941,3.76528
995942,3.76466
995943,3.76485
995944,3.7646
995945,3.80948
995946,3.80893
995947,3.80863
995948,3.80782
995949,3.80784
995950,3.80789
995951,3.8079
995952,3.80691
995953,3.82825
995954,3.85181
995955,3.85204
995956,3.85146
995957,3.85168
995958,3.85062
995959,3.85055
995960,3.85109
995961,3.85061
995962,3.89136
995963,3.89567
995964,3.89553
995965,3.89468
995966,3.89465
995967,3.89513
995968,3.89463
995969,3.89415
995970,3.89404
995971,3.93905
995972,3.93864
995973,3.93845
995974,3.93848
995975,3.93826
995976,3.93802
995977,3.93793
995978,3.93725
995979,3.96398
995980,3.98309
995981,3.98202
995982,3.98183
995983,3.98112
995984,3.98132
995985,3.9813
995986,3.98034
995987,3.98074
995988,4.0079
995989,4.02463
995990,4.02483
995991,4.02432
995992,4.02387
995993,4.02353
995994,4.02361
995995,4.02343
995996,4.02327
995997,4.05328
995998,4.06852
995999,4.06799
996000,4.06786
996001,4.06775
996002,4.0674
996003,4.06678
996004,4.06723
996005,4.0663
996006,4.08828
996007,4.1109
996008,4.11022
996009,4.1089
996010,4.10898
996011,4.10908
996012,4.10946
996013,4.10904
996014,4.10883
996015,4.15137
996016,4.15326
996017,4.15285
996018,4.15212
996019,4.15225
996020,4.15189
996021,4.15105
996022,4.14983
996023,4.14933
996024,4.17509
996025,4.19415
996026,4.19384
996027,4.19354
996028,4.19355
996029,4.19426
996030,4.19322
996031,4.1933
996032,4.19333
996033,4.22851
996034,4.2368
996035,4.23725
996036,4.23658
996037,4.23614
996038,4.23553
996039,4.23528
996040,4.23566
996041,4.23499
996042,4.27937
996043,4.27943
996044,4.27891
996045,4.27872
996046,4.27786
996047,4.27758
996048,4.27767
996049,4.27697
996050,4.24832
996051,2.56814
996052,3.60543
996053,3.60454
996054,3.60482
996055,3.60408
996056,3.60407
996057,3.60387
996058,3.60374
996059,3.60388
996060,3.64556
996061,3.64764
996062,3.6476
996063,3.6479
996064,3.64773
996065,3.64733
996066,3.64758
996067,3.6467
996068,3.64654
996069,3.69147
996070,3.69089
996071,3.69144
996072,3.6913
996073,3.69103
996074,3.69072
996075,3.69033
996076,3.69069
996077,3.71628
996078,3.73508
996079,3.73486
996080,3.73516
996081,3.73494
996082,3.73474
996083,3.73488
996084,3.73456
996085,3.73423
996086,3.77901
996087,3.77898
996088,3.7783
996089,3.77821
996090,3.77774
