Time,Ampl
997105,1.22603
997106,1.22597
997107,1.22622
997108,1.22644
997109,1.22656
997110,1.22642
997111,1.2528
997112,1.29413
997113,1.2941
997114,1.29404
997115,1.29401
997116,1.29371
997117,1.29361
997118,1.29389
997119,1.35208
997120,1.36112
997121,1.36126
997122,1.36114
997123,1.36144
997124,1.36117
997125,1.36117
997126,1.36135
997127,1.42973
997128,1.42865
997129,1.42885
997130,1.42884
997131,1.42898
997132,1.42894
997133,1.42896
997134,1.43739
997135,1.49687
997136,1.49617
997137,1.49666
997138,1.49677
997139,1.49674
997140,1.49675
997141,1.49676
997142,1.5257
997143,1.56389
997144,1.56405
997145,1.56428
997146,1.56399
997147,1.56402
997148,1.564
997149,1.56413
997150,1.60221
997151,1.63144
997152,1.63138
997153,1.63151
997154,1.63152
997155,1.63171
997156,1.63182
997157,1.63145
997158,1.69248
997159,1.69917
997160,1.69922
997161,1.6994
997162,1.69958
997163,1.69941
997164,1.6997
997165,1.69962
997166,1.69537
997167,1.76251
997168,1.76253
997169,1.76349
997170,1.76358
997171,1.76355
997172,1.76344
997173,1.76357
997174,1.83212
997175,1.83121
997176,1.83152
997177,1.83181
997178,1.8315
997179,1.83154
997180,1.83154
997181,1.84087
997182,1.8997
997183,1.8996
997184,1.89988
997185,1.89983
997186,1.89983
997187,1.89983
997188,1.89954
997189,1.94059
997190,1.96674
997191,1.96692
997192,1.9671
997193,1.96703
997194,1.96693
997195,1.96669
997196,1.96678
997197,2.03201
997198,2.03402
997199,2.03388
997200,2.03399
997201,2.03386
997202,2.03365
997203,2.03354
997204,2.03352
997205,2.10096
997206,2.10015
997207,2.10078
997208,2.10057
997209,2.1005
997210,2.10025
997211,2.09963
997212,2.09971
997213,2.1671
997214,2.16593
997215,2.16647
997216,2.16608
997217,2.1654
997218,2.16507
997219,2.16545
997220,2.17069
997221,2.2322
997222,2.23175
997223,2.23129
997224,2.23142
997225,2.23115
997226,2.23147
997227,2.23129
997228,2.25545
997229,2.2977
997230,2.29723
997231,2.29691
997232,2.29658
997233,2.29685
997234,2.29684
997235,2.29694
997236,2.34963
997237,2.36277
997238,2.36284
997239,2.36295
997240,2.3626
997241,2.36193
997242,2.36195
997243,2.36148
997244,0.115541
997245,0.757861
997246,1.02124
997247,1.01992
997248,1.02018
997249,1.02043
997250,1.02049
997251,1.02067
997252,1.0207
997253,1.05679
997254,1.08442
997255,1.08443
997256,1.08475
997257,1.08483
997258,1.08487
997259,1.08495
997260,1.08525
997261,1.11354
997262,1.1491
997263,1.14897
997264,1.14914
997265,1.14929
997266,1.14942
997267,1.14967
997268,1.14955
997269,1.15921
997270,1.21448
997271,1.21373
997272,1.21383
997273,1.21393
997274,1.21396
997275,1.21395
997276,1.21412
997277,1.21746
997278,1.27889
997279,1.27801
997280,1.27826
997281,1.27829
997282,1.27839
997283,1.27851
997284,1.27852
997285,1.27871
997286,1.3433
997287,1.34245
997288,1.34252
997289,1.34269
997290,1.34273
997291,1.34311
997292,1.34302
997293,1.34294
997294,1.40808
997295,1.40714
997296,1.40763
997297,1.40781
997298,1.40773
997299,1.40803
997300,1.40804
997301,1.40827
997302,1.47339
997303,1.47313
997304,1.47358
997305,1.47398
997306,1.47407
997307,1.47432
997308,1.4743
997309,1.49031
997310,1.53925
997311,1.53926
997312,1.53975
997313,1.53973
997314,1.53999
997315,1.54042
997316,1.54036
997317,1.55645
997318,1.60512
997319,1.60518
997320,1.60552
997321,1.60587
997322,1.60593
997323,1.60621
997324,1.60658
997325,1.50171
997326,1.66904
997327,1.66637
997328,1.66877
997329,1.66863
997330,1.66881
997331,1.66904
997332,1.66932
997333,1.66942
997334,1.73493
997335,1.73452
997336,1.73489
997337,1.73537
997338,1.73525
997339,1.73546
997340,1.73537
997341,1.73578
997342,1.80126
997343,1.80162
997344,1.80229
997345,1.80268
997346,1.80269
997347,1.80282
997348,1.80325
997349,1.80331
997350,1.86441
997351,1.86942
997352,1.86998
997353,1.87024
997354,1.87052
997355,1.87101
997356,1.87121
997357,1.87132
997358,1.92729
997359,1.9371
997360,1.93751
997361,1.93789
997362,1.93803
997363,1.93831
997364,1.93828
997365,1.93858
997366,1.98977
997367,2.00409
997368,2.00473
997369,2.00516
997370,2.00555
997371,2.00553
997372,2.00555
997373,2.00585
997374,2.05014
997375,2.07145
997376,2.07161
997377,2.07198
997378,2.07204
997379,2.07193
997380,2.07231
997381,2.07229
997382,2.11708
997383,2.13734
997384,2.13738
997385,2.13776
997386,2.13797
997387,2.13801
997388,2.13827
997389,2.13817
997390,2.18634
997391,2.20377
997392,2.20357
997393,2.204
997394,2.20432
997395,2.20436
997396,2.20444
997397,2.20459
997398,2.25491
997399,2.26971
997400,2.26987
997401,2.26967
997402,2.27004
997403,2.27009
997404,2.27019
997405,2.26989
997406,1.05554
997407,0.720036
997408,1.01221
997409,1.01239
997410,1.01266
997411,1.01279
997412,1.01295
997413,1.03642
997414,1.0721
997415,1.07399
997416,1.07387
997417,1.07383
997418,1.07385
997419,1.07403
997420,1.07377
997421,1.07386
997422,1.13289
997423,1.1351
997424,1.13504
997425,1.135
997426,1.13513
997427,1.13501
997428,1.19099
997429,1.19604
997430,1.19683
997431,1.19644
997432,1.19671
997433,1.19665
997434,1.19673
997435,1.19641
997436,1.22895
997437,1.2566
997438,1.25834
997439,1.25825
997440,1.25839
997441,1.2581
997442,1.25826
997443,1.25813
997444,1.26365
997445,1.31737
997446,1.31993
997447,1.32017
997448,1.32014
997449,1.31993
997450,1.31999
997451,1.31981
997452,1.32001
997453,1.37626
997454,1.38134
997455,1.38178
997456,1.38199
997457,1.38206
997458,1.38216
997459,1.38203
997460,1.38203
997461,1.42281
997462,1.44247
997463,1.44408
997464,1.44406
997465,1.44427
997466,1.44414
997467,1.44414
997468,1.44439
997469,1.44429
997470,1.50355
997471,1.50587
997472,1.50678
997473,1.50689
997474,1.50696
997475,1.50689
997476,1.50712
997477,1.50733
997478,1.54683
997479,1.56773
997480,1.56951
997481,1.56963
997482,1.5696
997483,1.56948
997484,1.56957
997485,1.56967
997486,1.40309
997487,1.62113
997488,1.62351
997489,1.62659
997490,1.62749
997491,1.62789
997492,1.62828
997493,1.62848
997494,1.62825
997495,1.68757
997496,1.69047
997497,1.69131
997498,1.69115
997499,1.69124
997500,1.69126
997501,1.69163
997502,1.69135
997503,1.73159
997504,1.75265
997505,1.75479
